地区,年份,结婚登记(万对),内地居民登记结婚(万对),内地居民初婚登记(万对),内地居民再婚登记(万对),涉外及港澳台居民登记结婚(万对),离婚登记(万对),粗离婚率(‰)
北京市,2022年,9.13,9.09,11.81,6.45,0.04,4.42,2.02
北京市,2021年,10.34,10.29,13.63,7.04,0.04,5.04,2.3
北京市,2020年,11.38,11.34,12.43,10.33,0.04,8.19,3.77
北京市,2019年,12.9,12.82,14.15,11.64,0.08,8.38,3.89
北京市,2018年,13.78,13.7,16.92,10.65,0.08,7.41,3.43
北京市,2017年,15.15,15.05,17.93,12.36,0.09,8.06,3.71
北京市,2016年,16.62,16.52,20.08,13.17,0.1,10.58,4.89
北京市,2015年,16.6,16.5,22.95,10.25,0.1,8.22,3.79
北京市,2014年,17,16.89,25.38,8.63,0.11,6.56,3.08
北京市,2013年,16.37,16.26,25.16,7.57,0.11,6.46,3.06
北京市,2012年,17.41,17.29,28.74,6.08,0.12,4.86,2.35
北京市,2011年,17.32,17.2,28.84,5.81,0.13,4.35,3.45
北京市,2010年,13.8,13.7,22.2,5.4,0.1,4.4,2.37
北京市,2009年,18.18,18.06,30.58,5.77,0.12,4.13,
北京市,2008年,14.75,14.64,24.63,4.87,0.12,3.76,
北京市,2007年,11.79,11.69,19.34,4.25,0.1,3.66,
北京市,2006年,17.1,17,29.4,4.8,0.12,3.6,
北京市,2005年,9.7,9.6,15.9,3.4,0.09,3.4,
北京市,2004年,12.64,12.55,21.44,3.65,0.1,3.3,
北京市,2003年,9.4,9.3,15.9,2.7,0.08,3.1,
天津市,2022年,6.89,6.88,8.21,5.56,0.01,4.03,2.95
天津市,2021年,8.04,8.03,9.1,6.98,0.01,4.14,3
天津市,2020年,8.98,8.97,13.28,4.69,0.01,7.26,4.92
天津市,2019年,9.64,9.61,14.11,5.18,0.03,7.47,4.78
天津市,2018年,9.75,9.72,14.96,4.54,0.03,6.41,4.11
天津市,2017年,9.51,9.48,15.4,3.61,0.03,5.89,3.78
天津市,2016年,9.82,9.78,16.15,3.49,0.03,6.52,4.24
天津市,2015年,10.12,10.09,17.49,2.76,0.03,5.19,3.36
天津市,2014年,9.94,9.9,17.39,2.48,0.04,4.45,2.98
天津市,2013年,10.26,10.22,16.99,3.53,0.04,4.53,3.07
天津市,2012年,10.14,10.1,17.47,2.81,0.04,3.63,2.57
天津市,2011年,10.41,10.37,17.33,3.5,0.04,3.21,3.24
天津市,2010年,8.7,8.6,13.8,3.6,,3,2.37
天津市,2009年,10.4,10.36,17.36,3.45,0.04,2.76,
天津市,2008年,8.93,8.88,15.19,2.68,0.05,2.4,
天津市,2007年,7.57,7.53,12.49,2.65,0.04,2.21,
天津市,2006年,8.4,8.3,14.3,2.4,0.05,2.1,
天津市,2005年,6.4,6.3,10.3,2.4,0.04,1.9,
天津市,2004年,7.7,7.66,13.16,2.16,0.04,1.8,
天津市,2003年,6.3,6.3,10.9,1.6,0.03,1.4,
河北省,2022年,30.21,30.18,43.35,17.07,0.03,12.95,1.75
河北省,2021年,33.71,33.69,45.8,21.63,0.02,13.4,1.8
河北省,2020年,37.49,37.46,48.44,26.54,0.03,23.65,3.14
河北省,2019年,42.13,42,55.14,29.13,0.13,25.57,3.37
河北省,2018年,45.87,45.75,64.52,27.23,0.12,23.45,3.11
河北省,2017年,50.49,50.39,75.05,25.93,0.1,23.24,3.1
河北省,2016年,55.19,55.09,85.14,25.24,0.1,22.02,2.96
河北省,2015年,60.94,60.89,98.75,23.14,0.06,19.9,2.68
河北省,2014年,66.13,66.07,109.99,22.28,0.06,18.57,2.52
河北省,2013年,74.08,74.03,126.62,21.53,0.05,17.88,2.44
河北省,2012年,74.53,74.49,130.3,18.76,0.05,17.12,2.35
河北省,2011年,77.72,77.67,137,18.43,0.05,15.63,2.14
河北省,2010年,75,75,135.6,14.5,,14.5,2.04
河北省,2009年,72,71.95,130.06,13.93,0.04,12.67,
河北省,2008年,66.31,66.28,120.35,12.28,0.04,11.22,
河北省,2007年,60.39,60.36,109.39,11.4,0.03,9.88,
河北省,2006年,55.5,55.5,100.4,10.6,,9.2,
河北省,2005年,53.8,53.8,97.5,10.1,0.03,8.3,
河北省,2004年,57.48,57.46,104.16,10.76,0.02,7.7,
河北省,2003年,52.4,52.4,95.3,9.5,0.02,5.8,
山西省,2022年,18.19,18.18,30.22,6.16,0.01,5.72,1.64
山西省,2021年,22.33,22.32,37.29,7.37,0.01,5.86,1.68
山西省,2020年,21.58,21.57,35.66,7.5,0.01,8.21,2.27
山西省,2019年,25.5,25.49,42.63,8.38,0.01,9.12,2.45
山西省,2018年,27.85,27.82,47.56,8.14,0.04,8.75,2.36
山西省,2017年,28.77,28.76,50.3,7.25,0.02,8.22,2.23
山西省,2016年,30.01,30,53.08,6.94,0.02,7.65,2.09
山西省,2015年,34.68,34.66,62.31,7.04,0.01,7.22,1.97
山西省,2014年,35.07,35.06,63.75,6.39,0.02,6.56,1.8
山西省,2013年,38.4,38.39,71.03,5.77,0.01,6.1,1.68
山西省,2012年,36.28,36.27,67.7,4.86,0.01,5.28,1.46
山西省,2011年,33.96,33.95,63.36,4.56,0.01,4.75,1.37
山西省,2010年,36.1,36,67.6,4.5,,4.3,1.23
山西省,2009年,34.36,34.35,63.29,5.44,0.01,3.89,
山西省,2008年,28.74,28.73,52.81,4.67,0.01,3.28,
山西省,2007年,23.85,23.84,44.35,3.35,0.01,3.24,
山西省,2006年,20.2,20.2,37.7,2.7,,3,
山西省,2005年,19,19,35.4,2.6,0.01,2.9,
山西省,2004年,16.15,16.14,30.24,2.04,0.01,2.7,
山西省,2003年,14.5,14.5,27.3,1.7,0.01,2.3,
内蒙古自治区,2022年,11.46,11.46,15.58,7.35,0.01,5.24,2.18
内蒙古自治区,2021年,13.21,13.2,17.59,8.83,0.01,5.49,2.29
内蒙古自治区,2020年,14.17,14.16,17.86,10.47,0.01,8.61,3.48
内蒙古自治区,2019年,16.18,16.15,20.7,11.65,0.02,9.98,3.93
内蒙古自治区,2018年,17.69,17.67,23.48,11.89,0.02,9.88,3.9
内蒙古自治区,2017年,18.7,18.68,26.32,11.08,0.02,10.09,4
内蒙古自治区,2016年,19.84,19.82,28.09,11.59,0.02,9.84,3.92
内蒙古自治区,2015年,21.79,21.77,33.1,10.47,0.02,9.19,3.66
内蒙古自治区,2014年,21.68,21.66,33.6,9.75,0.02,8.84,3.54
内蒙古自治区,2013年,22.16,22.14,35.51,8.81,0.02,8.07,3.23
内蒙古自治区,2012年,20.77,20.75,34.39,7.15,0.02,7.06,2.83
内蒙古自治区,2011年,21.53,21.51,35.91,7.14,0.02,6.67,2.72
内蒙古自治区,2010年,20.3,20.2,33.6,6.9,,5.7,2.31
内蒙古自治区,2009年,18.84,18.82,32.04,5.63,0.02,5.2,
内蒙古自治区,2008年,18.78,18.76,32.5,5.06,0.02,5.02,
内蒙古自治区,2007年,18.57,18.55,32.86,4.27,0.02,4.73,
内蒙古自治区,2006年,16.3,16.3,29.6,3,,4.1,
内蒙古自治区,2005年,15.5,15.4,28,2.9,0.01,3.9,
内蒙古自治区,2004年,14.77,14.76,26.85,2.66,0.02,3.7,
内蒙古自治区,2003年,13.1,13,24.3,1.8,0.02,3,
辽宁省,2022年,19.09,19.06,30.42,7.76,0.03,9.26,2.21
辽宁省,2021年,21.44,21.41,33.4,9.49,0.03,9.6,2.26
辽宁省,2020年,22.43,22.4,32.71,12.15,0.03,15.05,3.49
辽宁省,2019年,25.56,25.43,32.23,18.88,0.13,17.68,4.06
辽宁省,2018年,28.08,27.94,45.64,10.52,0.14,17.24,3.95
辽宁省,2017年,29.19,29.05,51.94,6.43,0.13,16.68,3.81
辽宁省,2016年,31.26,31.09,55.5,7.02,0.17,16.01,3.65
辽宁省,2015年,31.7,31.53,57.53,5.87,0.17,15.23,3.48
