类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
近24小时,2024/4/1,1,快乐就是哈哈哈哈哈,78445,100%,梁实秋,2022/8/1,中国友谊出版公司,￥9.90,￥52.00
近24小时,2024/4/1,2,我们生活在巨大的差距里（余华十年杂文集）,336934,100%,余华,2015/1/1,北京十月文艺出版社,￥15.80,￥35.00
近24小时,2024/4/1,3,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,1215074,100%,史铁生,2011/6/1,人民文学出版社,￥16.00,￥29.00
近24小时,2024/4/1,4,认知破局 怎样突破能力、视野和人脉 全民商业导师张琦给大家的人,133558,100%,张琦,2023/6/30,北京联合出版有限公司,￥49.00,￥69.80
近24小时,2024/4/1,5,病隙碎笔（光影纪念版，书内彩插作者亲摄照片12幅）史铁生充满灵,337758,100%,史铁生,2021/11/1,湖南文艺出版社,￥21.60,￥48.00
近24小时,2024/4/1,6,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,855813,100%,迟子建,2019/6/1,人民文学出版社,￥16.00,￥32.00
近24小时,2024/4/1,7,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,2309428,99.90%,刘慈欣,2010/11/1,重庆出版社,￥41.00,￥93.00
近24小时,2024/4/1,8,摄影轻松入门一本就够（全彩）,172193,100%,先锋影像,2018/4/1,电子工业出版社,￥37.60,￥99.00
近24小时,2024/4/1,9,活着（余华代表作，精装，易烊千玺推荐阅读）,1402465,100%,余华,2021/10/1,北京十月文艺出版社,￥31.00,￥45.00
近24小时,2024/4/1,10,听风八百遍，才知是人间（史铁生、汪曾祺、梁实秋、丰子恺、沈从,65631,100%,史铁生,2023/10/1,华中科技大学出版社,￥27.40,￥49.80
近24小时,2024/4/1,11,作家榜名著：月亮与六便士（156万读者高分推荐版！连续8年稳居畅,1567924,100%,毛姆,2017/1/10,浙江文艺出版社,￥16.90,￥39.80
近24小时,2024/4/1,12,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1350956,100%,岸見一郎,2020/3/5,机械工业出版社,￥27.50,￥55.00
近24小时,2024/4/1,13,见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋,11062,100%,纵虎嗅花,2023/1/1,北京联合出版有限公司,￥36.80,￥49.80
近24小时,2024/4/1,14,生死疲劳（不看不知道，莫言真幽默！全新版本！）,652934,100%,莫言,2022/1/1,浙江文艺出版社,￥31.00,￥69.90
近24小时,2024/4/1,15,巨流河（纪念版）精装,6325,100%,齐邦媛,2021/8/11,生活.读书.新知三联书店,￥53.00,￥79.00
近24小时,2024/4/1,16,九子不成龙漫画版1,5397,100%,载水,2023/6/1,天津杨柳青画社,￥23.10,￥42.00
近24小时,2024/4/1,17,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直,255860,100%,安德烈·纪德,2018/10/1,天津人民出版社,￥16.90,￥45.00
近24小时,2024/4/1,18,读读童谣和儿歌（共四册）一年级下册 语文教科书配套书目 人教版,413413,100%,曹文轩,2018/1/1,人民教育出版社,￥17.20,￥39.80
近24小时,2024/4/1,19,跟着诗词去旅行 少年游学地理百科,6359,100%,日知图书,2024/2/1,北方妇女儿童出版社,￥11.40,￥34.00
近24小时,2024/4/1,20,那个不为人知的故事,296383,100%,Twentine,2020/10/1,四川文艺出版社,￥20.10,￥42.00
近7日,2024/4/1,1,我们生活在巨大的差距里（余华十年杂文集）,336934,100%,余华,2015/1/1,北京十月文艺出版社,￥15.80,￥35.00
近7日,2024/4/1,2,快乐就是哈哈哈哈哈,78445,100%,梁实秋,2022/8/1,中国友谊出版公司,￥9.90,￥52.00
近7日,2024/4/1,3,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,1215074,100%,史铁生,2011/6/1,人民文学出版社,￥16.00,￥29.00
近7日,2024/4/1,4,摄影轻松入门一本就够（全彩）,172193,100%,先锋影像,2018/4/1,电子工业出版社,￥37.60,￥99.00
近7日,2024/4/1,5,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,855813,100%,迟子建,2019/6/1,人民文学出版社,￥16.00,￥32.00
近7日,2024/4/1,6,作家榜名著：月亮与六便士（156万读者高分推荐版！连续8年稳居畅,1567924,100%,毛姆,2017/1/10,浙江文艺出版社,￥16.90,￥39.80
