标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
沈北唯一地铁入园 现房，两室一厅 精装修，配套齐全,华强城二期,,,65,"8,667"
万达星摩尔商圈 园区绿化好 采光好 拎包入住,其仕郡,,,97,"11,764"
诚售保利溪湖林语二期精装修 看房有钥匙 满五,保利溪湖林语二期,,,67,"7,128"
航院小区 园区位置好 全天采光 楼层好 交通便利,航院小区,,,75,"9,392"
沈铁家园 2室1厅 南 北,沈铁家园,,,120,"13,637"
寿泉三期(宝和社区) 2室1厅 南 北,寿泉三期(宝和社区),,,45,"8,779"
和泰馨城尚东 南园 房主急卖 看好可议 近校区,和泰尚东区,,,36,"6,174"
富城花园 2室1厅 南 北,富城花园,,,78,"7,277"
精装修，万科物业，户型好，拎包入住,首开如院,,,95,"9,470"
万科首府未来城3期 3室2卫 中间楼层 视野好 诚心出售,万科首府未来城,,,185,"15,288"
急售 满二 精装修 全天采光 拎包即住,碧桂园公园里,,,55,"7,997"
有钥匙 看房子方便.  房主诚心卖you,澳海西湖印象,,,56,"7,369"
首开新园区 户型好 采光好 随时可看房 出行方便,首开国风尚城,,,59,"7,029"
房子不挡光 楼层好 环境优美  配套齐全.,向工北小区,,,21.5,"5,309"
沈新园二期商品房 步梯多层5楼开发大道地铁口华润万家,沈新园,,,59.8,"7,725"
塔湾商圈，交通便利，塔湾地铁口，交通便利,塔湾小区,,,39.8,"6,612"
碧水名门 新上房源 2室南北标户 位置安静 采光视野好,碧水名门,,,128,"11,429"
新湖 电梯洋房 三叶草户型  好楼层  随时看房,新湖仙林金谷北区,,,93,"8,158"
好房推荐，河景房，全天采光，装修好，近地铁，近商场,亚泰城,,,69,"8,314"
惠盛苑 3室2厅 南 北,惠盛苑,,,143,"10,000"
恒大翡翠华庭 2室2厅 南 北,恒大翡翠华庭,,,79.8,"9,902"
沈电社区 1室1厅 南,沈电社区,,,50,"17,858"
星摩尔 万达旁 精装小两室 中间楼层 拎包住,鑫丰俪城,,,61,"10,730"
中海寰宇天下B区 3室1厅 南 北,中海寰宇天下B区,,,160,"14,018"
南北通透 楼层好 上下楼方便 2018年交房,君海朗郡,,,58,"6,153"
金科集美天城 3室2厅 南 北,金科集美天城,,,95,"10,110"
包道社区 2室1厅 南 北,包道社区,,,45,"5,071"
万科公园大 全天采光.两室 精装修中间楼层,万科公园大道,,,82,"10,438"
御龙逸城 两室 一楼 装修保持挺好 采光好,御龙逸城A,,,61,"7,465"
坤湖丽舍三期 精装河景房 好楼层 不挡光,荣盛坤湖郦舍,,,68,"7,011"
中国铁建御水澜湾 3室2厅 南 北,中国铁建御水澜湾,,,90,"8,377"
汇置尚郡2.2期灰白楼有房证河景房高层视野好看房方便,汇置尚郡,,,68,"7,840"
视野开阔心长草，两室小房杠杠好,奥园国际城,,,47.5,"6,056"
急售~金科集美天城~三室两厅一卫~精装修~全天采光,金科集美天城,,,105,"11,053"
：园区环境好门前公交站地铁站交通便利万科物业,郡原美村,,,45,"5,806"
楼下就是岐山一  好楼层  南北 随时看房 北行商圈,湘江社区,,,37,"7,678"
荣盛坤湖郦舍 2室2厅 南 北,荣盛坤湖郦舍,,,54,"6,745"
府梓新居 1室1厅 南,府梓新居,,,28,"5,468"
龙腾碧玉湾 2室2厅 南 北,龙腾碧玉湾,,,55,"6,445"
采光好，交通便利，童晖和光明 楼层好。,新新小区,,,25,"5,204"
南北通透 户型方正 视野采光良好 24小时安保,中梁金科玖禧,,,94.5,"8,526"
南向滑翔配套齐全各类大小购物市场,沐叶花园,,,28,"5,808"
南昌楼下大润发 采光好 户型方正 产权清晰,哈大楼小区,,,58,"9,966"
保利茉莉公馆 3室1厅 南,保利茉莉公馆,,,95,"11,122"
新上房源 旭辉东樾城 精装四室 中间楼层 全天采光,旭辉东樾城,,,155,"11,924"
婚装标准，家具家电全带，标准户型，楼层好看房方便,富邦壹品天城,,,46,"5,078"
新华西社区 价格可议 业主自住 随时能看,新华西社区,,,49,"8,430"
上东花墅五期 南北两室 精装修 电梯小两室,中房上东花墅五期雏菊园,,,53,"8,819"
赤山小区 2室1厅 西南,赤山小区,,,31,"4,644"
全天采光 南北阳台都封好 靠园区里边 万科开发 价可议,万科金域华府,,,95,"10,567"
辽大地铁口   西南朝向  精装修，拎包就住,瀚博皇家御院二期,,,29.8,"4,820"
云峰街地铁口 中间楼层 户型好 看房方便,移动馨城,,,103,"8,481"
万科精装房，新交付没住过，标准户型，南北通透,万科首府未来城,,,97,"13,180"
华强城二期 南北精装两居室 园区中间位置 满五年,华强城二期,,,92,"9,619"
中铁御水澜湾高层一楼带地下室地下室自己搭了一层楼板,中国铁建御水澜湾,,,75,"8,180"
五三小区 三楼 满五年 有钥匙 看房方便，业主诚心出售,五三小区,,,68,"17,432"
五三小区 一楼 精装修 独立下水 有钥匙随时可看,五三小区,,,83,"15,895"
不挡光 位置好 小区环境优美 配套齐全.,向工北小区,,,22.8,"5,700"
和泰八区3室南北标户全天采光好,和泰八区,,,42.8,"4,515"
环北家园二期 1室1厅 南 北,环北家园二期,,,30,"4,984"
标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
