电影,评分,演员
美丽人生,9.5,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克,玛丽萨·帕雷德斯,霍斯特·布赫霍尔茨,利迪娅·阿方西,朱利亚娜·洛约迪切,亚美利哥·丰塔尼,彼得·德·席尔瓦,弗朗西斯·古佐,拉法埃拉·莱博罗尼,克劳迪奥·阿方西,吉尔·巴罗尼,马西莫·比安奇,恩尼奥·孔萨尔维,吉安卡尔洛·科森蒂诺,阿伦·克雷格,汉尼斯·赫尔曼,弗兰科·梅斯科利尼,安东尼奥·普雷斯特,吉娜·诺维勒,理查德·塞梅尔,安德烈提多娜,迪尔克·范登贝格,奥梅罗·安东努蒂,沈晓谦,张欣"
鬼子来了,9.3,"姜文,香川照之,袁丁,姜宏波,丛志军,李丛喜,泽田谦也,李海滨,蔡卫东,陈述,陈莲梅,史建全,陈强,宫路佳具,吴大维,梶冈润一,石山雄大,述平,姜武,姜金才,石山雄太,山田将之,贾幼然,王义和,杜世儒,周海超,白云生,徐海东,长野客弘,鱼见亮介"
触不可及,9.3,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,约瑟芬娜·德·摩,克洛蒂尔德·莫莱特,阿尔芭·贝露琪,萨丽马特·卡马特,托马·索利韦尔,卡罗琳·伯格,玛丽-洛尔·德库洛,安托万·劳伦特,弗朗索瓦·卡隆,多米尼克·达吉尔,本杰明·巴奇,尼基·马伯特,让-弗朗索瓦·凯雷,艾米丽·卡恩,多萝特博里埃,皮埃尔-罗兰·巴纳隆,海迪·布奇纳法,弗朗索瓦·伯尔卢普"
摩登时代,9.3,"查理·卓别林,宝莲·高黛,亨利·伯格曼,蒂尼·桑福德,切斯特·康克林,汉克·曼,斯坦利·布莱斯通,阿尔·欧内斯特·加西亚,理查德·亚历山大,塞西尔·雷诺兹,米拉·麦金尼,默多克·麦夸里,威尔弗雷德·卢卡斯,爱德华·勒桑,弗雷德·马拉泰斯塔,萨米·斯坦,特德·奥利弗,诺曼·安斯利,博比·巴伯,海尼·康克林,格洛丽亚·德黑文,帕特·弗莱厄蒂,弗兰克·哈格尼,帕特·哈蒙,劳埃德·英格拉哈姆,沃尔特·詹姆斯,爱德华·金博尔,杰克·洛,巴迪·梅辛杰,布鲁斯·米切尔,弗兰克·莫兰,詹姆斯·C·莫顿,路易·纳托,J·C·纽金特,拉斯·鲍威尔,约翰兰德,哈里·威尔逊"
大话西游之大圣娶亲,9.2,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁,吴珏瑾,江约诚,胡立成,许敬义,付博文,侯艳,金永钢"
疯狂动物城,9.2,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·马吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温,黄子华,蔡依林,容祖儿,季冠霖,戴维德·迪格斯,佟心竹,张震,尼古拉斯·格斯特,李楠,四刀辉彰"
三傻大闹宝莱坞,9.2,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安,Atul Tiwari,阿里·法扎勒,帕里卡沙特.萨赫尼,Rakesh Sharma,贾维德·杰弗里"
城市之光,9.3,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,亨利·伯格曼,珍·哈露,哈里·克罗克,阿尔·欧内斯特·加西亚,汉克·曼,哈利·迈耶斯,约翰兰德,罗伯特·帕里什,罗伯特·格雷夫斯,艾伯特·奥斯汀"
怦然心动,9.1,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼,佩内洛普·安·米勒,艾丹·奎因,凯文·韦斯曼,摩根·莉莉,瑞安·克茨纳,吉莉安·普法夫,迈克尔·博萨,博·勒纳,杰奎琳·埃沃拉,泰勒·格鲁秀斯,艾莉·布莱恩特,阿什莉·泰勒,伊瑟尔·布罗萨德,科迪·霍恩,迈克尔·博尔顿,肖恩·哈珀,斯戴芬妮·斯考特,帕特丽夏·伦茨,马修·戈尔德,阿罗拉·凯瑟琳·史密斯,凯莉·唐纳利,索菲亚·撒高,米歇尔·梅斯默,斯科特·乔尔·吉兹基,罗德·迈尔斯,卡拉 帕西托,凯特琳·帕西托"
寻梦环游记,9.1,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉森贝格,以利亚·罗德里格斯,石桥阳彩"
飞屋环游记,9.1,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多,杰罗姆·兰福特,约翰·拉森贝格,大卫·卡耶,艾丽·道克特,杰里米·利里,米凯·麦高万,丹尼·曼恩,唐纳德·富利洛夫,杰斯·哈梅尔,乔什·库雷,彼特·道格特,布兰达?查普曼,泰迪·牛顿,保罗·伊丁,托尼·弗希勒,雪莉·琳恩"
罗马假日,9.1,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,玛格丽特·罗林斯,托里奥·卡米纳提,保罗·卡利尼,克劳迪奥·埃尔梅利,保拉·布鲁布尼,里佐·弗雷多里佐,劳拉·索拉里,Gorella Gori,Armando Annuale,毛里齐奥·阿雷纳,Silvio Bagolini,Gildo Bocci,弗兰科·科尔萨罗,John Cortay,Vittoria Crispo,Sidney Gordon,Luigi Moneta,Piero Pastore,米莫·波利,Carlo Rizzo,Gianna Segale,阿梅代奥·特里利,海伦·塔布斯,马科·图里,Joop van Hulzen,凯瑟琳·惠勒,Judy Wyler,陆建艺,金毅"
两杆大烟枪,9.1,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,杰森·斯坦森,斯蒂文·麦金托什,尼古拉斯·罗尔,维尼·琼斯,蓝尼·麦克林,P.H.莫里亚蒂,弗兰克·哈珀,史蒂夫·斯威尼,哈吉·利弗,罗尼·福克斯,斯蒂芬·马库斯,瓦斯·布莱克伍德,斯汀,杰克·亚伯拉罕,罗伯·布莱顿,薇拉·黛,阿兰·福德,席德·戈尔德,丹尼·约翰-儒勒,维克多·麦奎尔,安德鲁·蒂曼,马修·沃恩,布拉德·雅各布维茨"
